id_videojuego,id_genero,nombre_videojuego
1,1,Wii Sports
2,2,Mario Kart Wii
3,1,Wii Sports Resort
4,3,New Super Mario Bros.
5,4,Wii Play
6,3,New Super Mario Bros. Wii
7,5,Nintendogs
8,2,Mario Kart DS
9,1,Wii Fit
10,1,Wii Fit Plus
11,4,Kinect Adventures!
12,6,Grand Theft Auto V
13,4,Brain Age: Train Your Brain in Minutes a Day
14,7,Pokemon Diamond/Pokemon Pearl
15,7,Pokemon Black/Pokemon White
16,8,Brain Age 2: More Training in Minutes a Day
17,9,Call of Duty: Modern Warfare 3
18,9,Call of Duty: Black Ops
19,7,Pokemon X/Pokemon Y
20,9,Call of Duty: Black Ops 3
21,9,Call of Duty: Black Ops II
22,9,Call of Duty: Modern Warfare 2
23,10,Super Smash Bros. Brawl
24,5,Animal Crossing: Wild World
25,2,Mario Kart 7
26,9,Halo 3
27,6,Pokemon HeartGold/Pokemon SoulSilver
28,3,Super Mario Galaxy
29,7,Pokemon Omega Ruby/Pokemon Alpha Sapphire
30,6,Grand Theft Auto IV
31,3,Super Mario 3D Land
32,2,Gran Turismo 5
33,3,Super Mario 64
34,4,Just Dance 3
35,9,Call of Duty: Ghosts
36,9,Halo: Reach
37,3,New Super Mario Bros. 2
38,9,Halo 4
39,4,Just Dance 2
40,9,Call of Duty 4: Modern Warfare
41,4,Minecraft
42,5,Animal Crossing: New Leaf
43,4,Mario Party DS
44,7,The Elder Scrolls V: Skyrim
45,1,FIFA 16
46,4,Wii Party
47,4,Mario Party 8
48,7,Pokemon Black 2/Pokemon White 2
49,6,FIFA Soccer 13
50,5,The Sims 3
51,1,Mario & Sonic at the Olympic Games
52,7,Pok̩mon Platinum Version
53,3,Super Mario Galaxy 2
54,9,Star Wars Battlefront (2015)
55,9,Call of Duty: Advanced Warfare
56,10,Super Smash Bros. for Wii U and 3DS
57,9,Call of Duty: World at War
58,9,Battlefield 3
59,6,The Legend of Zelda: Twilight Princess
60,4,Just Dance
61,2,Mario Kart 8
62,7,Fallout 4
63,4,Just Dance 4
64,1,FIFA 14
65,6,Uncharted 3: Drake's Deception
66,1,Zumba Fitness
67,9,Gears of War 2
68,6,Uncharted 2: Among Thieves
69,1,FIFA 12
70,4,Big Brain Academy
71,6,Red Dead Redemption
72,1,FIFA 15
73,3,Donkey Kong Country Returns
74,6,Assassin's Creed III
75,9,Halo 3: ODST
76,7,World of Warcraft
77,1,Kinect Sports
78,9,Gears of War 3
79,9,Gears of War
80,6,Metal Gear Solid 4: Guns of the Patriots
81,6,The Last of Us
82,3,LittleBigPlanet
83,7,Dragon Quest IX: Sentinels of the Starry Skies
84,6,LEGO Star Wars: The Complete Saga
85,5,Cooking Mama
86,9,Destiny
87,6,Assassin's Creed II
88,11,Assassin's Creed
89,6,Batman: Arkham City
90,2,Forza Motorsport 3
91,7,Final Fantasy XIII
92,8,Professor Layton and the Curious Village
93,7,Diablo III
94,3,New Super Mario Bros. U
95,6,The Legend of Zelda: Phantom Hourglass
96,5,Tomodachi Life
97,7,Fable III
98,5,Microsoft Flight Simulator
99,6,Resident Evil 5
100,1,FIFA Soccer 11
101,9,Link's Crossbow Training
102,7,Fallout 3
103,7,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness
104,6,Uncharted: Drake's Fortune
105,6,God of War III
106,12,StarCraft II: Wings of Liberty
107,1,FIFA 17
108,5,Animal Crossing: City Folk
109,2,Forza Motorsport 4
110,4,Guitar Hero III: Legends of Rock
111,1,Mario & Sonic at the Olympic Winter Games
112,6,Luigi's Mansion: Dark Moon
113,9,Splatoon
114,6,Uncharted: The Nathan Drake Collection
115,4,Nintendo Land
116,4,Michael Jackson: The Experience
117,7,The Elder Scrolls IV: Oblivion
118,9,Resistance: Fall of Man
119,7,Fable II
120,9,Halo 5: Guardians
121,3,Super Mario 3D World
122,6,Batman: Arkham Asylum
123,6,Assassin's Creed: Revelations
124,12,Warcraft II: Tides of Darkness
125,6,The Legend of Zelda: Ocarina of Time
126,9,Uncharted 4: A Thief's End
127,2,Gran Turismo 5 Prologue
128,10,Street Fighter IV
129,6,Watch Dogs
130,9,Half-Life
131,6,The Legend of Zelda: Skyward Sword
132,4,Carnival Games
